사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
공천포식당,한식,영업,제주특별자치도 서귀포시 남원읍 공천포로 89,제주특별자치도 서귀포시 남원읍 공천포로 89,156,4.1,151,0,0.0,서귀포시,남원
성산옥탑,경양식,영업,제주특별자치도 서귀포시 성산읍 성산리 136-13번지 ,제주특별자치도 서귀포시 성산읍 일출로 270-8,65,4.0,39,0,0.0,서귀포시,성산
까망돼지,한식,영업,제주특별자치도 서귀포시 색달동 2534-9번지 ,제주특별자치도 서귀포시 색달중앙로 21 (색달동),65,3.9,63,0,0.0,서귀포시,중문
이조은식당,한식,영업,제주특별자치도 서귀포시 색달동 2476-3번지 ,제주특별자치도 서귀포시 천제연로 97 (색달동),315,4.0,66,0,0.0,서귀포시,중문
만족한상회,한식,영업,제주특별자치도 서귀포시 중문동 1665-5번지 1층 ,"제주특별자치도 서귀포시 중문상로 58-5, 1층 (중문동)",173,4.6,109,0,0.0,서귀포시,중문
해왓,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 524-2번지 ,제주특별자치도 서귀포시 성산읍 신고로 30-1,592,4.1,129,0,0.0,서귀포시,성산
돈덕이네,고기,영업,제주특별자치도 서귀포시 성산읍 고성리 1444-3번지 ,제주특별자치도 서귀포시 성산읍 고성중앙로 41-8,56,4.8,46,0,0.0,서귀포시,성산
청솔나무집,한식,영업,제주특별자치도 서귀포시 성산읍 성산리 171-8번지 ,제주특별자치도 서귀포시 성산읍 성산중앙로 25,226,3.5,20,0,0.0,서귀포시,성산
모카,카페,영업,제주특별자치도 서귀포시 남원읍 태흥리 50-3번지 ,제주특별자치도 서귀포시 남원읍 태신해안로 125,61,4.2,45,0,0.0,서귀포시,남원
가파도수산,일식,영업,제주특별자치도 서귀포시 대정읍 하모리 2126-11번지 ,"제주특별자치도 서귀포시 대정읍 하모항구로6번길 22, 1층",131,4.6,56,0,0.0,서귀포시,대정
위미동백식당,분식,영업,제주특별자치도 서귀포시 남원읍 위미리 934번지 ,제주특별자치도 서귀포시 남원읍 태위로 278,58,4.5,45,0,0.0,서귀포시,남원
