사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동
잘도식당,한식,영업,제주특별자치도 제주시 이도일동 1421-15 ,"제주특별자치도 제주시 중앙로15길 16, 1층 (이도일동)",32,4.9,141,4.79,제주시,제주
마구로쇼쿠도,일식,영업,제주특별자치도 제주시 이도이동 1958-5 그린나래 ,"제주특별자치도 제주시 신설로9길 26-12, 비동 1층 102호 (이도이동, 그린나래)",48,4.3,0,0.0,제주시,제주
회가서쪽에서뜨겠네,한식,영업,제주특별자치도 제주시 애월읍 애월리 2454-1 ,"제주특별자치도 제주시 애월읍 애월로 12, 1층",222,4.2,1005,4.65,제주시,애월
온센제주,일식,영업,제주특별자치도 제주시 도두이동 681-1 ,"제주특별자치도 제주시 서해안로 364, 1층 (도두이동)",50,4.2,226,0.0,제주시,제주
섭섭이네,경양식,영업,제주특별자치도 제주시 구좌읍 송당리 1379-13번지 ,"제주특별자치도 제주시 구좌읍 중산간동로 2261, 1층",89,3.7,829,0.0,제주시,구좌
다니쉬,카페,영업,제주특별자치도 제주시 조천읍 함덕리 1250번지 ,"제주특별자치도 제주시 조천읍 함덕16길 56, 1~2층",197,4.5,1033,4.6,제주시,조천
흑본오겹함덕,한식,영업,제주특별자치도 제주시 조천읍 함덕리 3039-1번지 ,"제주특별자치도 제주시 조천읍 신북로 454, 1층",195,4.4,905,4.62,제주시,조천
우돈향,고기,영업,제주특별자치도 제주시 조천읍 함덕리 1004-30 ,"제주특별자치도 제주시 조천읍 조함해안로 530, 2층",64,3.8,490,4.84,제주시,조천
연동신도시식당,한식,영업,제주특별자치도 제주시 연동 1524 ,"제주특별자치도 제주시 국기중길 28, 1층 (연동)",198,3.7,201,4.73,제주시,제주
가치,일식,영업,제주특별자치도 제주시 용담일동 417번지 ,"제주특별자치도 제주시 동한두기길 17, 1층 (용담일동)",79,4.0,221,4.6,제주시,제주
함덕마당,한식,영업,제주특별자치도 제주시 조천읍 함덕리 204 ,"제주특별자치도 제주시 조천읍 조함해안로 586, 1층",49,4.4,1051,0.0,제주시,조천
닥그네할망,고기,영업,제주특별자치도 제주시 도남동 87-14 (1층) ,"제주특별자치도 제주시 신성로10길 18 (도남동,(1층))",66,4.5,807,4.87,제주시,제주
요기소바,일식,영업,제주특별자치도 제주시 노형동 931-1 ,"제주특별자치도 제주시 원노형6길 3-4, 1층 (노형동)",38,4.2,0,0.0,제주시,제주
스시도모다찌칠성,일식,영업,제주특별자치도 제주시 일도일동 1465-4번지 ,"제주특별자치도 제주시 관덕로13길 3, 1층 (일도일동)",81,4.5,743,4.5,제주시,제주
관심사,카페,영업,제주특별자치도 제주시 이도일동 1413-1번지 ,"제주특별자치도 제주시 중앙로 77, 지하1층 (이도일동)",38,4.8,103,0.0,제주시,제주
하미,해산물,영업,제주특별자치도 제주시 애월읍 애월리 2550 ,"제주특별자치도 제주시 애월읍 애월북서길 54, 1층",387,4.3,1631,4.24,제주시,애월
제주엔찜함덕,한식,영업,제주특별자치도 제주시 조천읍 함덕리 1004-30번지 ,"제주특별자치도 제주시 조천읍 조함해안로 530, 1층 102호",51,4.1,87,0.0,제주시,조천
유니온제주,호프,영업,제주특별자치도 제주시 구좌읍 월정리 33-12 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 486, B103호",35,4.3,287,4.84,제주시,구좌
제주정곱창,한식,영업,제주특별자치도 제주시 연동 283-53번지 ,"제주특별자치도 제주시 은남4길 31, 1층 (연동)",52,4.8,134,4.69,제주시,제주
바당지기,해산물,영업,제주특별자치도 제주시 구좌읍 월정리 30 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 480, 1층",30,3.9,0,0.0,제주시,구좌
인손,일식,영업,제주특별자치도 제주시 구좌읍 세화리 1448-1번지 ,"제주특별자치도 제주시 구좌읍 세화4길 10, 1층",61,4.5,242,4.7,제주시,구좌
유주,카페,영업,제주특별자치도 제주시 한림읍 옹포리 318-1 ,"제주특별자치도 제주시 한림읍 한림상로 17, 1층",141,4.1,389,4.62,제주시,한림
애월후식,카페,영업,제주특별자치도 제주시 애월읍 납읍리 1726-5번지 ,"제주특별자치도 제주시 애월읍 납읍로 21, 1층",38,4.5,186,0.0,제주시,애월
동명정류장,카페,영업,제주특별자치도 제주시 한림읍 동명리 1322-2번지 ,"제주특별자치도 제주시 한림읍 동명7길 26, 1층",133,5.0,430,4.85,제주시,한림
제주이와이,일식,영업,제주특별자치도 제주시 애월읍 하귀2리 2420-1번지 ,"제주특별자치도 제주시 애월읍 하귀로 4, 1층",30,4.6,71,4.74,제주시,애월
페어리제주,카페,영업,제주특별자치도 제주시 구좌읍 하도리 3200-1번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1486, 1층",120,4.7,244,4.43,제주시,구좌
시드니양갈비,고기,영업,제주특별자치도 제주시 노형동 3790 ,"제주특별자치도 제주시 노형10길 10, 2층 (노형동)",110,4.3,181,4.66,제주시,제주
아꼬운디,한식,영업,제주특별자치도 제주시 한림읍 월령리 348-3번지 ,제주특별자치도 제주시 한림읍 월령리 348-3번지 ,36,4.4,146,4.63,제주시,한림
매콤명태촌,해산물,영업,제주특별자치도 제주시 외도일동 436-4번지 ,"제주특별자치도 제주시 절물3길 7, 1층 (외도일동)",56,4.2,124,4.21,제주시,제주
술의식물원,카페,영업,제주특별자치도 제주시 구좌읍 송당리 1381-3번지 ,"제주특별자치도 제주시 구좌읍 중산간동로 2253, 1층",40,4.1,172,4.58,제주시,구좌
그랜드키친,뷔페,영업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트 ,"제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 4층 (노형동)",43,3.8,401,4.33,제주시,제주
애월의맛,한식,영업,제주특별자치도 제주시 애월읍 애월리 2482-1 ,"제주특별자치도 제주시 애월읍 애월로 37, 지하1층",55,4.6,0,0.0,제주시,애월
제주백정,한식,영업,제주특별자치도 제주시 한림읍 한림리 942-8 ,제주특별자치도 제주시 한림읍 한림리 942-8 ,50,4.7,293,4.8,제주시,한림
온차,경양식,영업,제주특별자치도 제주시 일도일동 1258 ,"제주특별자치도 제주시 서부두남길 12, 1층 (일도일동)",32,4.3,309,0.0,제주시,제주
